,percentage,pks+island,pid,type,percentage2
C550_C1_G4_D1,5.212786091608222e-06,No,C550,adjacent normal,0.0
C550_C1_G5_D1,4.4140552633982644e-05,Yes,C550,cancer,4.4140552633982644e-05
C550_C1_G7_D1,1.594405203826001e-05,Yes,C550,cancer,1.594405203826001e-05
C550_C1_G8_D1,1.683318435738144e-05,No,C550,cancer,0.0
C550_D1_G1_D1,5.269366624001145e-05,Yes,C550,cancer,5.269366624001145e-05
C550_D1_G2_D1,6.419087942338513e-06,Yes,C550,adjacent normal,6.419087942338513e-06
C550_D1_G5_D1,1.6248123731257524e-05,No,C550,adjacent normal,0.0
C550_Z1_B1_D1,1.1838509123423469e-08,No,C550,cancer,0.0
C551_A1_G1_D1,3.874416418909652e-08,No,C551,cancer,0.0
C551_A1_G5_D1,8.909496197213195e-08,No,C551,cancer,0.0
C551_A1_G8_D1,1.2305475225124055e-07,No,C551,cancer,0.0
C551_B1_G3_D1,3.6459967418486934e-07,No,C551,cancer,0.0
C551_B1_G5_D1,1.348328708761881e-06,No,C551,cancer,0.0
C551_C1_G3_D1,3.883726037299482e-07,No,C551,cancer,0.0
C551_C1_G5_D1,1.6213447534788289e-06,No,C551,cancer,0.0
C551_C1_G9_D1,1.1333166022833626e-07,No,C551,cancer,0.0
