,SPS1,SPS2,SPS3,SPS4,SPS5,SPS6,SPS7,Pid
C536_D1_G4_D1,0.479,0.0,0.0,0.0,0.0,0.521,0.0,C536
C536_D1_G8_D1,0.48200000000000004,0.0,0.0,0.0,0.0,0.518,0.0,C536
C536_D1_G9_D1,0.48200000000000004,0.0,0.0,0.0,0.0,0.518,0.0,C536
C537_A1_G1_D1,0.5870000000000001,0.069,0.0,0.042,0.006,0.121,0.17600000000000002,C537
C537_A1_G10_D1,0.589,0.077,0.0,0.04,0.005,0.10800000000000001,0.18100000000000002,C537
C537_B1_G7_D1,0.509,0.126,0.0,0.062,0.01,0.09699999999999999,0.196,C537
C537_C1_G1_D1,0.48200000000000004,0.106,0.0,0.085,0.009000000000000001,0.11900000000000001,0.19899999999999998,C537
C537_C1_G10_D1,0.47600000000000003,0.10800000000000001,0.0,0.076,0.01,0.126,0.204,C537
C537_C1_G5_D1,0.47100000000000003,0.114,0.0,0.081,0.015,0.122,0.19699999999999998,C537
C537_D1_G1_D1,0.493,0.106,0.0,0.071,0.005,0.12,0.205,C537
C538_A1_G10_D1,0.7170000000000001,0.11,0.0,0.04,0.001,0.105,0.027000000000000003,C538
C538_B1_G10_D1,0.7440000000000001,0.107,0.0,0.019,0.0,0.107,0.023,C538
C538_B1_G8_D1,0.736,0.113,0.0,0.025,0.0,0.102,0.024,C538
C538_B1_G9_D1,0.737,0.107,0.0,0.02,0.002,0.11,0.023,C538
C538_C1_G10_D1,0.752,0.10800000000000001,0.0,0.022000000000000002,0.0,0.09699999999999999,0.021,C538
C538_C1_G2_D1,0.747,0.10800000000000001,0.0,0.022000000000000002,0.0,0.1,0.022000000000000002,C538
C538_C1_G3_D1,0.745,0.109,0.0,0.023,0.0,0.10300000000000001,0.021,C538
C538_D1_G10_D1,0.7120000000000001,0.11900000000000001,0.0,0.040999999999999995,0.0,0.094,0.035,C538
C538_D1_G4_D1,0.6609999999999999,0.13699999999999998,0.0,0.065,0.005,0.09300000000000001,0.04,C538
C538_D1_G8_D1,0.679,0.127,0.0,0.053,0.004,0.098,0.038,C538
C539_A1_G5_D1,0.18,0.207,0.0,0.295,0.095,0.084,0.139,C539
C539_A1_G7_D1,0.179,0.20800000000000002,0.0,0.292,0.096,0.08199999999999999,0.14300000000000002,C539
C539_A1_G8_D1,0.18,0.20800000000000002,0.0,0.29100000000000004,0.098,0.081,0.141,C539
C539_B1_G1_D1,0.24,0.212,0.0,0.23600000000000002,0.095,0.08800000000000001,0.129,C539
C539_B1_G3_D1,0.188,0.204,0.0,0.285,0.099,0.085,0.139,C539
C539_C1_G1_D1,0.316,0.188,0.0,0.205,0.077,0.094,0.12,C539
C539_C1_G3_D1,0.294,0.19,0.0,0.212,0.083,0.10400000000000001,0.11699999999999999,C539
C539_D1_G10_D1,0.249,0.195,0.0,0.23,0.094,0.111,0.121,C539
